Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2020-05-19 18:48:21,2020-05-15,MGLN,Magellan Health Inc,Murray James E,"Pres, COO",P - Purchase,68.6,4500.0,4500.0,New,304317.0,74.99,69.17,75.57,72.27,94.06,0.0,9.31,0.83,10.16,5.35,37.11,0.0,True
2020-05-18 16:53:58,2020-05-14,RM,Regional Management Corp.,Schachtel John D.,"EVP, COO",P - Purchase,15.25,5000.0,40157.0,14.0,57720.0,15.48,18.89,18.34,19.83,38.04,0.0,1.51,23.87,20.26,30.03,149.44,0.0,True
2020-05-14 18:28:50,2020-05-12,BLMN,"Bloomin' Brands, Inc.",Scarlett Gregg,"EVP, COO of Casual Dining",P - Purchase,9.99,25000.0,85929.0,41.0,251200.0,11.41,11.7,16.9,13.98,28.16,0.0,14.21,17.12,69.17,39.94,181.88,0.0,True
2020-05-14 16:28:44,2020-05-13,CADE,Cadence Bancorporation,Tortorici Samuel M.,"Pres, COO",P - Purchase,17.69,20000.0,227121.0,10.0,107200.0,21.28,20.73,21.14,23.97,32.08,0.0,20.29,17.18,19.5,35.5,81.35,0.0,True
2020-05-13 17:53:31,2020-05-11,IEA,"Infrastructure & Energy Alternatives, Inc.",Stoecker Michael,COO,P - Purchase,1.85,15000.0,126161.0,13.0,27800.0,1.89,2.23,5.9,6.78,12.44,0.0,2.16,20.54,218.92,266.49,572.43,0.0,True
2020-05-07 18:05:27,2020-05-07,FLXS,Flexsteel Industries Inc,Schmidt Derek P,"CFO, COO",P - Purchase,8.72,10820.0,22415.0,93.0,90022.0,8.68,10.86,17.3,28.44,38.62,0.0,-0.46,24.54,98.39,226.15,342.89,0.0,True
2020-05-07 17:15:02,2020-05-06,RIVE,Riverview Financial Corp,Kunkel Ginger G,"SEVP, COO",P - Purchase,6.69,4500.0,14994.0,43.0,29975.0,5.94,7.41,7.1,7.1,10.5,0.0,-11.21,10.76,6.13,6.13,56.95,0.0,True
2020-05-04 06:47:23,2020-04-30,F,Ford Motor Co,Farley Jr James D,COO,P - Purchase,4.92,194950.0,828922.0,31.0,1000035.0,4.9,5.71,6.66,7.67,12.17,0.0,-0.41,16.06,35.37,55.89,147.36,0.0,True
2020-04-17 16:33:50,2020-04-17,KEY,Keycorp /new/,Gorman Christopher M.,"Pres, COO",P - Purchase,10.1,100000.0,650931.0,18.0,1036000.0,10.34,9.08,11.89,11.77,20.05,0.0,2.38,-10.1,17.72,16.53,98.51,0.0,True
2020-04-16 15:31:26,2020-04-15,YORW,York Water Co,Wheeler Mark A,COO,P - Purchase,42.93,108.0,362.0,43.0,4546.0,39.59,40.01,47.11,41.8,,0.0,-7.78,-6.8,9.74,-2.63,,0.0,True
2020-04-09 17:28:31,2020-04-07,HT,Hersha Hospitality Trust,Shah Neil H,"Pres, COO",P - Purchase,5.36,26800.0,28704.0,999.0,172802.0,4.4,4.74,4.76,5.38,12.11,0.0,-17.91,-11.57,-11.19,0.37,125.93,0.0,True
2020-04-08 16:10:01,2020-04-06,CSU,Capital Senior Living Corp,Ribar Brandon,"EVP, COO",P - Purchase,12.3,100000.0,170000.0,143.0,56158.0,13.35,10.05,9.75,9.3,37.68,0.0,8.54,-18.29,-20.73,-24.39,206.34,0.0,True
2020-03-25 12:45:49,2020-03-18,GTLS,Chart Industries Inc,Bishop John Champion VII,COO,P - Purchase,16.64,10000.0,24454.0,69.0,181758.0,23.65,31.6,49.25,64.16,134.02,0.0,42.13,89.9,195.97,285.58,705.41,0.0,True
2020-03-24 16:38:26,2020-03-23,HZN,Horizon Global Corp,Pollick Matthew,COO,P - Purchase,1.97,5000.0,51254.0,11.0,6700.0,1.92,1.67,3.47,5.7,9.4,0.0,-2.54,-15.23,76.14,189.34,377.16,0.0,True
2020-03-24 11:19:31,2020-03-20,DRTT,Dirtt Environmental Solutions Ltd,Calkins Jeffrey,COO,P - Purchase,0.88,10000.0,26707.0,60.0,10200.0,0.87,1.01,1.15,1.68,2.29,0.0,-1.14,14.77,30.68,90.91,160.23,0.0,True
2020-03-24 10:54:31,2020-03-23,AFL,Aflac Inc,Crawford Frederick John,"Pres, COO",P - Purchase,33.99,25000.0,247828.0,11.0,657340.0,36.56,34.84,33.75,36.21,44.61,0.0,7.56,2.5,-0.71,6.53,31.24,0.0,True
2020-03-24 08:33:49,2020-03-23,KRP,"Kimbell Royalty Partners, LP",Daly Matthew S.,COO,P - Purchase,5.02,27000.0,240704.0,13.0,103140.0,5.65,5.4,7.31,7.32,,0.0,12.55,7.57,45.62,45.82,,0.0,True
2020-03-23 17:41:32,2020-03-23,SLCA,"U.S. Silica Holdings, Inc.",Winkler Michael L,"EVP, COO",P - Purchase,1.58,50000.0,274184.0,22.0,50000.0,1.52,1.44,3.54,3.64,13.31,0.0,-3.8,-8.86,124.05,130.38,742.41,0.0,True
2020-03-23 16:18:33,2020-03-19,BRMK,Broadmark Realty Capital Inc.,Koa Linda,COO,P - Purchase,5.83,7500.0,42312.0,22.0,50447.0,5.86,6.69,8.16,9.06,9.49,,0.51,14.75,39.97,55.4,62.78,,True
2020-03-23 14:54:57,2020-03-23,CWGL,"Crimson Wine Group, Ltd",Quille Nicolas Michel Eric,"Chief Winemaking, COO",P - Purchase,5.41,1000.0,2000.0,100.0,5150.0,5.87,6.25,5.12,5.05,6.61,0.0,8.5,15.53,-5.36,-6.65,22.18,0.0,True
2020-03-23 08:13:31,2020-03-19,SITC,Site Centers Corp.,Makinen Michael,"EVP, COO",P - Purchase,5.51,20576.0,67957.0,43.0,97324.0,4.17,5.6,7.31,8.07,12.04,0.0,-24.32,1.63,32.67,46.46,118.51,0.0,True
2020-03-20 19:48:36,2020-03-19,OFG,Ofg Bancorp,Kumar Ganesh,"SEVP, COO",P - Purchase,9.21,2106.0,2149.0,999.0,21456.0,9.66,11.08,12.65,13.36,17.98,0.0,4.89,20.3,37.35,45.06,95.22,0.0,True
2020-03-19 12:02:56,2020-03-19,MCB,Metropolitan Bank Holding Corp.,Perri Gerard A,"EVP, COO",P - Purchase,20.38,1250.0,7852.0,19.0,22037.0,24.3,22.17,29.44,31.11,47.95,0.0,19.23,8.78,44.46,52.65,135.28,0.0,True
2020-03-17 17:46:13,2020-03-16,KALA,"Kala Pharmaceuticals, Inc.",Bazemore Todd,COO,P - Purchase,7.0,10000.0,10000.0,New,57500.0,8.75,10.26,10.16,7.96,9.02,0.0,25.0,46.57,45.14,13.71,28.86,0.0,True
2020-03-17 14:33:13,2020-03-17,PGC,Peapack Gladstone Financial Corp,Plante Robert A.,"EVP, COO",P - Purchase,13.26,490.0,3471.0,16.0,7443.0,14.51,16.06,16.77,16.93,,0.0,9.43,21.12,26.47,27.68,,0.0,True
2020-03-17 09:33:04,2020-03-16,THC,Tenet Healthcare Corp,Sutaria Saumya,"Pres, COO",P - Purchase,12.98,20000.0,49413.0,68.0,345600.0,11.89,22.41,17.78,30.0,50.9,0.0,-8.4,72.65,36.98,131.12,292.14,0.0,True
2020-03-16 19:15:11,2020-03-12,NSA,National Storage Affiliates Trust,Treadwell Steven B,COO,P - Purchase,28.46,500.0,500.0,New,12190.0,22.69,26.77,27.06,31.39,35.68,0.0,-20.27,-5.94,-4.92,10.3,25.37,0.0,True
2020-03-16 17:03:11,2020-03-13,AAWW,Atlas Air Worldwide Holdings Inc,Forbes James Anthony,"EVP, COO",P - Purchase,17.9,2500.0,6638.0,60.0,41535.0,22.17,25.34,44.44,57.19,56.14,0.0,23.85,41.56,148.27,219.5,213.63,0.0,True
2020-03-16 16:47:08,2020-03-12,HBT,"Hbt Financial, Inc.",Carter James Lance,"Pres, COO",P - Purchase,11.73,10000.0,100800.0,11.0,122636.0,9.62,12.2,11.9,11.78,15.01,0.0,-17.99,4.01,1.45,0.43,27.96,0.0,True
2020-03-16 16:08:10,2020-03-13,NCR,Ncr Corp,Sullivan Owen J,COO,P - Purchase,18.75,30000.0,158485.0,23.0,531300.0,18.26,20.02,17.81,21.1,34.93,0.0,-2.61,6.77,-5.01,12.53,86.29,0.0,True
2020-03-16 14:54:59,2020-03-13,ASX,Coronado Global Resources Inc.,Campbell James I,"Pres, COO",P - Purchase,3.87,10000.0,30000.0,50.0,78700.0,3.36,3.73,4.59,4.0,7.55,0.0,-13.18,-3.62,18.6,3.36,95.09,0.0,True
2020-03-13 20:29:32,2020-03-12,BFST,"Business First Bancshares, Inc.",Mansfield Keith,"EVP, COO of b1Bank",P - Purchase,14.48,2000.0,21095.0,10.0,31700.0,12.95,12.98,13.91,,21.06,0.0,-10.57,-10.36,-3.94,,45.44,0.0,True
2020-03-13 16:13:51,2020-03-11,OSW,Onespaworld Holdings Ltd,Lazarus Stephen,"CFO, COO",P - Purchase,4.81,75000.0,75000.0,New,489750.0,4.24,4.06,4.92,7.2,8.84,0.0,-11.85,-15.59,2.29,49.69,83.78,0.0,True
2020-03-13 16:13:16,2020-03-13,IKNX,Ikonics Corp,Hegman Kenneth D.,COO,P - Purchase,3.47,2000.0,2375.0,533.0,6991.0,3.24,3.4,3.41,3.5,11.8,0.0,-6.63,-2.02,-1.73,0.86,240.06,0.0,True
2020-03-12 21:31:08,2020-03-10,ONEW,Onewater Marine Inc.,Aisquith Anthony M,"Pres, COO",P - Purchase,8.07,2000.0,19333.0,12.0,16620.0,5.9,6.48,23.21,27.83,33.35,0.0,-26.89,-19.7,187.61,244.86,313.26,0.0,True
2020-03-12 17:51:01,2020-03-11,FUN,Cedar Fair L P,Fisher Tim,COO,P - Purchase,26.58,3660.0,24153.0,18.0,100028.0,22.66,21.6,28.26,31.45,42.95,0.0,-14.75,-18.74,6.32,18.32,61.59,0.0,True
2020-03-12 16:49:48,2020-03-12,ARMK,Aramark,Bruno Marc A,"COO, U.S. Food, Facilities",P - Purchase,23.7,23400.0,134974.0,21.0,497676.0,20.7,22.8,21.58,,36.35,0.0,-12.66,-3.8,-8.95,,53.38,0.0,True
2020-03-12 16:13:31,2020-03-12,UBP,Urstadt Biddle Properties Inc,Rapaglia Stephan A,"SVP, COO",P - Purchase,12.07,350.0,350.0,New,4433.0,12.19,,9.46,8.67,11.84,0.0,0.99,,-21.62,-28.17,-1.91,0.0,True
2020-03-11 21:17:53,2020-03-10,DZSI,Dasan Zhone Solutions Inc,Yim Philip,COO,P - Purchase,4.2,2000.0,7000.0,40.0,10000.0,3.55,5.0,9.22,10.49,17.23,0.0,-15.48,19.05,119.52,149.76,310.24,0.0,True
2020-03-11 20:56:59,2020-03-11,BKGM,Bankguam Holding Co,Leon Guerrero Maria Eugenia Herrero,"EVP, COO",P - Purchase,10.28,900.0,7748.0,13.0,9000.0,8.96,10.36,9.39,7.77,8.8,0.0,-12.84,0.78,-8.66,-24.42,-14.4,0.0,True
2020-03-11 14:11:17,2020-03-09,ASX,Coronado Global Resources Inc.,Campbell James I,"Pres, COO",P - Purchase,3.87,20000.0,20000.0,New,203300.0,3.36,3.73,4.59,4.0,7.55,0.0,-13.18,-3.62,18.6,3.36,95.09,0.0,True
2020-03-10 15:01:55,2020-03-10,CADE,Cadence Bancorporation,Tortorici Samuel M.,"Pres, COO",P - Purchase,19.55,20000.0,172661.0,13.0,175000.0,19.27,17.18,21.64,22.49,27.13,0.0,-1.43,-12.12,10.69,15.04,38.77,0.0,True
2020-03-06 18:28:55,2020-03-05,CSV,Carriage Services Inc,Goetz William,COO,P - Purchase,20.18,5000.0,15000.0,50.0,102500.0,15.14,13.68,18.82,,33.35,0.0,-24.98,-32.21,-6.74,,65.26,0.0,True
2020-03-05 16:33:14,2020-03-04,MPB,Mid Penn Bancorp Inc,Webb Justin T.,"SEVP, COO",P - Purchase,19.45,1500.0,8220.0,22.0,32212.0,18.64,17.46,17.8,,22.88,0.0,-4.16,-10.23,-8.48,,17.63,0.0,True
2020-03-04 16:30:55,2020-03-04,ETRN,Equitrans Midstream Corp,Charletta Diana M,"Pres, COO",P - Purchase,5.45,35000.0,90084.0,64.0,228900.0,4.84,5.09,7.79,9.78,6.57,0.0,-11.19,-6.61,42.94,79.45,20.55,0.0,True
2020-03-03 07:31:06,2020-03-02,VICI,Vici Properties Inc.,Payne John W R,"Pres, COO",P - Purchase,22.03,17835.0,109497.0,19.0,449977.0,11.2,12.53,18.56,21.19,25.5,0.0,-49.16,-43.12,-15.75,-3.81,15.75,0.0,True
2020-03-02 15:32:21,2020-02-27,HSII,Heidrick & Struggles International Inc,Cullen Michael M,COO,P - Purchase,21.46,809.0,5595.0,17.0,17353.0,,20.68,23.48,19.73,29.05,0.0,,-3.63,9.41,-8.06,35.37,0.0,True
2020-03-02 13:12:53,2020-02-28,UNP,Union Pacific Corp,Vena Vincenzo J,COO,P - Purchase,154.25,3206.0,23172.0,16.0,499864.0,139.66,135.0,162.25,178.6,215.73,0.0,-9.46,-12.48,5.19,15.79,39.86,0.0,True
2020-02-28 16:21:34,2020-02-27,IVR,Invesco Mortgage Capital Inc.,Lyle David B,COO,P - Purchase,14.03,5000.0,30000.0,20.0,84080.0,10.03,4.09,4.28,2.74,3.14,0.0,-28.51,-70.85,-69.49,-80.47,-77.62,0.0,True
2020-02-26 17:15:05,2020-02-24,PBIP,"Prudential Bancorp, Inc.",Migliorino Anthony V.,"EVP, COO",P - Purchase,15.45,3000.0,34501.0,10.0,52470.0,,11.91,,10.91,13.65,0.0,,-22.91,,-29.39,-11.65,0.0,True
2020-02-25 16:30:50,2020-01-27,YCBD,"Cbdmd, Inc.",Elliott Mark S,"CFO, COO",P - Purchase,1.04,5000.0,51680.0,11.0,5300.0,1.19,1.02,1.66,2.72,2.95,0.0,14.42,-1.92,59.62,161.54,183.65,0.0,True
2020-02-24 15:07:33,2020-02-21,VSAT,Viasat Inc,Baldridge Richard A,COO,P - Purchase,55.67,27150.0,148896.0,22.0,1507911.0,52.03,28.22,40.08,42.1,40.75,0.0,-6.54,-49.31,-28.0,-24.38,-26.8,0.0,True
2020-02-20 16:39:03,2020-02-20,NAVB,"Navidea Biopharmaceuticals, Inc.",Latkin Jed,"CEO, COO, CFO",P - Purchase,1.12,5000.0,17950.0,39.0,5400.0,1.05,0.78,2.99,4.78,2.3,0.0,-6.25,-30.36,166.96,326.79,105.36,0.0,True
2020-02-20 12:01:52,2020-02-18,PBIP,"Prudential Bancorp, Inc.",Migliorino Anthony V.,"EVP, COO",P - Purchase,16.63,3000.0,31501.0,11.0,52500.0,15.99,12.59,12.34,11.6,13.48,14.99,-3.85,-24.29,-25.8,-30.25,-18.94,-9.86,True
2020-02-14 17:00:08,2020-02-13,SGU,"Star Group, L.P.",Hammond Jeffrey S,COO,P - Purchase,8.15,5000.0,5000.0,New,45530.0,8.15,7.04,7.29,8.34,9.02,,0.0,-13.62,-10.55,2.33,10.67,,True
2020-02-10 19:01:25,2020-02-07,PFHD,Professional Holding Corp.,Iglesias Abel L,COO,P - Purchase,19.55,1250.0,10656.0,13.0,23125.0,19.75,18.94,14.18,11.28,16.74,0.0,1.02,-3.12,-27.47,-42.3,-14.37,0.0,True
2020-02-04 10:57:40,2020-02-03,CLB,Core Laboratories N V,Bruno Lawrence,"Pres, COO",P - Purchase,34.57,3000.0,10799.0,38.0,104579.0,31.12,23.78,19.6,20.26,24.79,26.01,-9.98,-31.21,-43.3,-41.39,-28.29,-24.76,True
2020-01-27 20:40:06,2020-01-24,VEL,"Velocity Financial, Inc.",Cowell Joseph A,COO,P - Purchase,13.64,722.0,722.0,New,9942.0,13.99,14.39,2.53,3.59,6.28,0.0,2.57,5.5,-81.45,-73.68,-53.96,0.0,True
2020-01-16 07:00:41,2020-01-14,YCBD,"Cbdmd, Inc.",Elliott Mark S,"CFO, COO",P - Purchase,1.16,15000.0,46680.0,47.0,15000.0,1.04,1.19,0.95,1.95,2.62,0.0,-10.34,2.59,-18.1,68.1,125.86,0.0,True
2019-12-17 11:41:50,2019-12-16,ECIA,Encision Inc,Geary Peter D,COO,P - Purchase,0.47,12000.0,12000.0,New,5280.0,0.42,0.43,0.49,0.67,0.51,1.4,-10.64,-8.51,4.26,42.55,8.51,197.87,True
