Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2020-03-11 14:34:40,2020-03-09,LOB,"Live Oak Bancshares, Inc.",Garriott Huntley,"Pres, Live Oak Bank",P - Purchase,10.8,20000.0,80094.0,33.0,253800.0,14.02,13.18,13.19,19.59,39.84,0.0,29.81,22.04,22.13,81.39,268.89,0.0,True
2020-03-11 14:11:17,2020-03-09,ASX,Coronado Global Resources Inc.,Campbell James I,"Pres, COO",P - Purchase,3.87,20000.0,20000.0,New,203300.0,3.36,3.73,4.59,4.0,7.55,0.0,-13.18,-3.62,18.6,3.36,95.09,0.0,True
2020-03-11 13:23:33,2020-03-09,GIFI,Gulf Island Fabrication Inc,Heo Richard W.,"Pres, CEO",P - Purchase,3.84,40000.0,339998.0,13.0,157300.0,3.1,3.21,3.09,2.9,4.29,0.0,-19.27,-16.41,-19.53,-24.48,11.72,0.0,True
2020-03-11 12:08:28,2020-03-11,CLF,Cleveland-Cliffs Inc.,Goncalves Lourenco,"COB, Pres, CEO",P - Purchase,4.79,200000.0,3565597.0,6.0,898260.0,3.74,,5.29,6.13,16.69,0.0,-21.92,,10.44,27.97,248.43,0.0,True
2020-03-11 10:29:56,2020-03-10,VSEC,Vse Corp,Cuomo John A,"CEO, Pres",P - Purchase,23.11,3500.0,7100.0,97.0,87150.0,18.06,18.07,29.1,30.65,41.14,0.0,-21.85,-21.81,25.92,32.63,78.02,0.0,True
2020-03-11 08:40:45,2020-03-10,EYPT,"Eyepoint Pharmaceuticals, Inc.",Lurker Nancy,"Pres, CEO",P - Purchase,10.7,98000.0,574800.0,21.0,104027.0,9.5,8.1,7.3,5.6,13.98,0.0,-11.21,-24.3,-31.78,-47.66,30.65,0.0,True
2020-03-10 21:15:08,2020-03-02,AMRX,"Amneal Pharmaceuticals, Inc.",Patel Chirag K.,"Pres, Co-CEO, Dir, 10%",P - Purchase,3.46,250000.0,256107.0,999.0,974958.0,3.57,2.87,4.58,4.14,5.2,0.0,3.18,-17.05,32.37,19.65,50.29,0.0,True
2020-03-10 18:02:31,2020-03-10,TCON,"Tracon Pharmaceuticals, Inc.",Theuer Charles,"Pres, CEO",P - Purchase,1.09,10000.0,26777.0,60.0,18691.0,1.54,1.82,1.93,1.81,10.61,0.0,41.28,66.97,77.06,66.06,873.39,0.0,True
2020-03-10 17:36:29,2020-03-06,RBBN,Ribbon Communications Inc.,McClelland Bruce William,"Pres, CEO",P - Purchase,3.14,35575.0,35575.0,New,106774.0,2.15,2.83,3.74,4.43,8.86,0.0,-31.53,-9.87,19.11,41.08,182.17,0.0,True
2020-03-10 17:32:06,2020-03-06,ESI,Element Solutions Inc,Benson Scot,"Pres, COO",P - Purchase,9.51,15000.0,220445.0,7.0,146550.0,7.19,7.68,10.11,10.41,16.89,0.0,-24.4,-19.24,6.31,9.46,77.6,0.0,True
